CASE,age,Age_prolific,sex,gender,education,occupation,Nationality,race,hispanic,non_hispanic_white,even_odd,psychant,psychsyn,mahal_dist,longstring,time_per_item,included,not_serious,Language,total_approvals,AAID_01,AAID_05,AAID_07,AAID_09,AAID_12,AAID_14,PANAS_09,PANAS_14,PANAS_10,PANAS_05,PANAS_08,PANAS_06,PANAS_04,PANAS_18,PAQ_08,PAQ_20,PAQ_05,PAQ_17,PAQ_13,PAQ_07,PAQ_10,PAQ_16,PAQ_03,PAQ_15,PSS_01,PSS_02,PSS_03,PSS_08,PSS_11,PSS_12,PSS_14,NEPS_01,NEPS_05,NEPS_07,NEPS_09,NEPS_13,ULS8_01,ULS8_02,ULS8_04,ULS8_05,ULS8_07,ULS8_08,FCV19S_01,FCV19S_02,FCV19S_03,FCV19S_04,FCV19S_05,FCV19S_06,FCV19S_07,DAQ_05,DAQ_07,DAQ_09,DAQ_11,DAQ_15,DAQ_19,DAQ_21,DAQ_23,DAQ_25,DAQ_02,DAQ_06,DAQ_08,DAQ_10,DAQ_12,DAQ_14,DAQ_16,DAQ_24,CESD_01,CESD_02,CESD_03,CESD_05,CESD_06,CESD_07,CESD_09,CESD_10,CESD_11,CESD_13,CESD_14,CESD_15,CESD_17,CESD_18,CESD_19,CESD_20,HEXACO_01,HEXACO_02,HEXACO_06,HEXACO_09,HEXACO_11,HEXACO_12,HEXACO_13,HEXACO_15,HEXACO_17,HEXACO_18,HEXACO_21,HEXACO_22,HEXACO_27,HEXACO_29,OCIR_01,OCIR_02,OCIR_03,OCIR_04,OCIR_05,OCIR_06,OCIR_07,OCIR_08,OCIR_09,OCIR_10,OCIR_11,OCIR_12,OCIR_13,OCIR_14,OCIR_15,OCIR_16,OCIR_17,OCIR_18,PTQ_01,PTQ_02,PTQ_03,PTQ_04,PTQ_05,PTQ_06,PTQ_07,PTQ_08,PTQ_09,PTQ_10,PTQ_11,PTQ_12,PTQ_13,PTQ_14,PTQ_15,RAAS_01,RAAS_05,RAAS_06,RAAS_12,RAAS_14,KSA3_01,KSA3_02,KSA3_03,KSA3_04,KSA3_05,KSA3_06,KSA3_07,KSA3_08,KSA3_09,SAS_01,SAS_02,SAS_03,SAS_04,SAS_05,SAS_07,SAS_08,SAS_09,MFQ_01,MFQ_02,MFQ_03,MFQ_04,MFQ_05,MFQ_06,MFQ_07,MFQ_08,MFQ_09,MFQ_10,MFQ_11,CQ_03,CQ_04,CQ_05,CQ_09,CQ_14,CQ_15,CQ_16,OLBI_07,OLBI_10,OLBI_15,OLBI_16,UWES9_01,UWES9_02,UWES9_03,UWES9_04,UWES9_05,UWES9_06,UWES9_07,UWES9_08,UWES9_09,WGS_01,WGS_02,WGS_03,WGS_04,WGS_05,WGS_06,WGS_07,WGS_08,WGS_09,WGS_10
613,56,58,Male,Same as sex,5+ years of college,Marketing managers,United States,White,"No, not of Hispanic, Latino, or Spanish origin",1,-0.925048804491529,-0.816044483358412,0.959089608244109,249.343380872337,11,5.11940298507463,TRUE,FALSE,English,147,6,5,7,5,7,7,7,7,7,7,1,1,1,1,7,1,1,1,2,1,2,4,2,4,1,2,2,2,1,7,1,1,7,6,6,6,1,1,1,1,1,1,1,1,1,1,2,1,1,7,7,7,7,7,6,7,7,7,7,7,7,7,7,7,7,7,1,1,1,1,1,4,1,1,1,3,1,1,1,1,1,1,1,7,2,7,1,7,7,7,6,7,7,7,7,2,1,1,2,1,1,1,1,3,1,1,5,1,5,1,2,1,1,2,1,1,1,1,2,1,1,2,1,1,1,1,1,1,1,5,2,7,7,6,6,6,3,7,3,2,7,7,5,7,7,7,7,7,1,1,5,6,7,6,7,1,7,7,7,7,7,7,1,1,2,2,1,1,1,7,7,7,7,6,7,6,6,7,6,6,6,3,7,6,6,7,7,6,7,6,7,6
485,45,45,Male,Same as sex,4 years of college,N/A: Unemployed,United States,White,"No, not of Hispanic, Latino, or Spanish origin",1,-0.933497242458378,-0.407469903935597,0.74671362872859,199.186771687431,10,3.22014925373134,TRUE,FALSE,English,3164,6,6,5,7,5,5,5,4,4,4,3,3,3,4,4,3,5,5,5,5,3,6,5,4,4,3,4,3,3,4,4,3,5,5,7,6,2,2,2,2,2,2,2,2,2,6,5,2,5,6,6,5,6,5,6,5,5,5,4,6,5,5,5,6,6,6,2,2,3,3,4,3,4,3,4,3,3,4,2,4,4,4,3,3,5,5,6,4,5,5,5,6,6,6,5,5,2,2,2,2,2,2,5,2,4,2,2,2,5,2,2,2,2,2,2,2,2,2,2,4,2,2,3,2,3,5,3,2,2,5,3,3,5,6,2,4,2,5,3,3,5,2,3,6,7,6,6,6,2,2,1,5,6,6,6,6,7,6,4,5,6,5,6,6,2,6,5,6,5,,,,,,,,,,,,,,,,,,,,,,,
488,30,30,Female,Same as sex,4 years of college,N/A: Unemployed,United States,White,"No, not of Hispanic, Latino, or Spanish origin",1,-0.8157579891785,-0.0497182529663536,0.403758121852153,213.667582531196,7,3.51119402985075,TRUE,FALSE,English,284,5,6,5,6,5,6,5,5,4,5,3,2,4,4,2,2,2,3,3,2,4,2,2,2,3,4,4,3,3,3,4,5,6,6,6,6,6,6,6,6,6,6,2,2,2,2,2,2,2,4,5,4,2,4,5,6,5,3,5,4,5,4,6,5,5,3,3,3,4,4,4,4,2,3,4,4,4,4,2,4,3,4,5,4,5,5,6,5,5,6,6,4,2,5,5,6,7,4,6,6,7,5,7,2,7,5,6,4,7,4,3,6,7,3,5,3,5,5,5,5,4,6,5,5,3,5,3,3,4,4,4,5,3,6,4,4,5,5,2,3,3,2,4,6,6,6,6,6,3,2,2,6,6,4,6,6,6,7,6,4,3,2,6,5,6,6,3,6,6,,,,,,,,,,,,,,,,,,,,,,,
938,33,33,Female,Same as sex,2 years of college,"Bookkeeping, accounting, and auditing clerks",United States,White,"No, not of Hispanic, Latino, or Spanish origin",1,-0.935141072536099,-0.602319717387349,0.768203237413808,245.84047129754,19,3.30597014925373,TRUE,FALSE,English,378,5,6,4,5,5,5,4,6,5,4,2,1,2,1,1,6,1,1,1,1,1,3,5,5,3,3,3,3,4,5,4,6,5,5,5,6,1,1,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,4,1,1,5,1,1,1,1,1,1,4,3,2,2,2,4,6,4,5,3,6,4,6,5,2,1,5,2,1,7,4,5,6,2,2,5,3,3,6,2,6,7,2,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,6,5,6,6,6,4,5,6,6,5,5,7,4,5,7,6,7,7,7,1,1,1,5,5,7,7,6,6,7,7,2,6,3,7,5,6,6,2,2,6,3,5,2,2,3,3,3,2,1,3,4,2,2,2,2,3,6,3,3,2,3,2,3
955,36,36,Female,Same as sex,2 years of college,N/A: Unemployed,United States,White,"No, not of Hispanic, Latino, or Spanish origin",1,-0.736391440314454,-0.410262713252997,0.532687268917428,233.530059139955,5,5.9589552238806,TRUE,FALSE,English,321,6,7,5,6,5,4,3,2,2,2,2,5,4,2,3,3,6,5,2,5,2,3,5,6,3,4,6,4,3,6,7,6,5,5,7,6,1,1,5,5,3,5,3,4,2,2,5,1,5,7,6,7,6,7,5,5,7,5,7,6,7,7,5,6,6,6,6,4,5,6,6,4,6,6,6,4,5,3,5,5,4,6,3,3,3,5,5,7,5,6,2,7,5,6,5,5,3,6,2,1,5,5,3,5,5,5,1,6,5,5,2,5,1,2,5,6,6,5,7,7,6,6,5,7,6,6,3,6,7,2,3,3,5,5,3,2,3,4,3,2,3,2,4,6,7,7,7,7,2,2,5,7,6,3,5,3,7,6,4,1,4,2,6,5,7,5,5,6,6,,,,,,,,,,,,,,,,,,,,,,,
497,48,48,Female,Same as sex,5+ years of college,"Media and communication workers, all other",United States,Other Asian or Pacific Islander,"No, not of Hispanic, Latino, or Spanish origin",0,-0.675781593932994,-0.78852945043849,0.594222064841162,187.66647557554,11,4.84328358208955,TRUE,FALSE,Tamil,957,5,5,7,5,7,7,6,6,5,5,2,2,3,2,2,2,2,2,2,2,2,2,2,2,3,5,2,1,3,6,1,5,6,7,7,6,3,2,3,2,2,3,1,1,2,2,4,2,1,5,3,5,3,3,4,4,3,4,2,5,5,5,5,3,2,2,1,1,1,1,2,1,3,1,2,1,3,2,1,3,2,1,4,7,3,5,6,7,6,6,5,7,6,6,6,4,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,2,3,2,3,3,2,3,2,5,3,2,5,3,2,2,6,6,6,6,6,2,6,2,5,2,2,2,2,4,6,6,7,6,7,2,1,2,7,7,5,2,5,7,7,6,1,2,2,4,3,6,6,3,3,6,6,5,6,6,5,5,6,6,6,6,5,5,2,6,5,5,6,5,6,6,6,5,6
499,28,28,Female,Same as sex,4 years of college,Interpreters and translators,United States,"Two major races (e.g., White and Japanese)","No, not of Hispanic, Latino, or Spanish origin",0,-0.593803431774708,-0.0955783873500908,0.562036139961102,202.39118004886,17,6.60820895522388,TRUE,FALSE,English,466,5,6,5,6,3,4,3,3,3,2,3,3,5,3,6,6,2,2,7,7,3,7,3,2,5,3,6,3,5,2,4,2,6,3,6,6,3,3,5,5,5,3,1,1,1,1,1,1,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,3,2,3,2,2,5,3,2,3,2,3,2,3,4,2,4,2,3,6,2,4,5,5,3,3,3,3,2,5,3,5,1,5,1,3,6,6,1,5,1,5,5,6,1,5,1,1,3,5,5,5,5,3,5,5,5,5,5,5,5,2,3,3,1,2,6,3,6,3,3,5,5,2,3,5,2,2,5,5,5,5,6,2,2,5,5,5,3,4,6,7,6,5,2,5,5,5,2,5,3,5,5,5,6,6,5,5,1,1,3,3,1,3,5,1,2,6,5,6,5,6,5,4,5,6,5
501,21,24,Male,Same as sex,5+ years of college,Computer and information systems managers,United States,White,"No, not of Hispanic, Latino, or Spanish origin",1,-0.952750841958137,-0.116331169406113,0.656602490901095,200.019899259915,7,8.40298507462687,TRUE,FALSE,English,17,6,6,6,6,6,6,6,5,5,6,6,5,5,6,4,5,4,5,5,5,4,6,5,6,5,5,5,5,5,6,5,5,7,7,5,7,3,3,3,3,4,3,1,1,1,1,1,1,1,5,6,6,5,4,5,6,5,6,6,6,6,5,5,5,6,5,5,5,5,5,3,6,2,5,5,6,3,3,5,3,6,5,4,6,5,5,5,6,6,5,5,5,5,5,5,5,3,5,3,3,3,3,3,2,3,3,3,3,5,2,4,3,3,2,6,5,6,5,5,5,5,4,5,6,5,5,6,5,5,6,3,6,6,6,4,6,6,5,6,4,5,5,6,6,4,5,7,6,4,4,5,7,7,6,7,6,7,6,5,5,6,6,6,5,5,6,5,6,6,6,4,5,5,5,6,5,6,6,5,6,5,4,6,5,4,4,5,5,4,5,4,4
951,48,48,Female,Same as sex,1 year of college,Billing and posting clerks,United States,White,"No, not of Hispanic, Latino, or Spanish origin",1,-0.785348893543277,-0.77407927644459,0.751393784976805,230.285255180756,8,3.98507462686567,TRUE,FALSE,English,2069,7,7,5,7,5,5,4,1,2,2,4,1,4,4,2,2,2,2,2,7,4,2,5,3,5,6,5,5,4,6,5,7,7,7,6,7,6,5,5,6,6,6,1,1,1,1,1,1,1,7,6,7,6,6,6,6,6,5,7,7,7,7,6,6,6,3,3,2,7,5,7,7,7,1,6,6,3,2,6,7,3,7,3,6,1,2,4,2,5,5,5,6,7,3,6,2,4,5,6,5,5,6,5,5,7,3,3,6,3,5,7,2,2,5,6,6,6,6,7,6,6,6,6,6,6,6,6,7,6,2,2,2,2,3,2,2,1,5,2,1,4,2,2,6,6,7,6,6,2,1,2,7,7,4,6,5,7,7,6,2,5,6,6,6,3,2,7,6,5,1,2,1,1,1,2,2,1,1,2,4,2,2,3,1,3,3,5,3,6,3,3,5
507,38,28,Male,Same as sex,5+ years of college,Computer and information systems managers,Nigeria,Black/African American,"No, not of Hispanic, Latino, or Spanish origin",0,-0.598233500383732,-0.0364405566555393,0.474131775966515,183.105229007329,9,12.4701492537313,TRUE,FALSE,English,168,4,3,3,4,4,3,5,6,5,5,4,4,5,5,5,6,5,4,5,4,5,4,5,4,5,4,5,6,4,4,4,5,5,5,5,7,2,3,6,2,3,5,2,2,2,2,2,2,2,6,6,6,5,5,4,4,4,4,5,5,5,4,6,6,5,5,2,5,2,3,2,6,2,5,3,4,2,3,3,3,2,3,5,5,4,5,5,4,4,4,4,5,5,5,4,5,5,4,5,5,4,4,4,5,5,4,5,5,5,2,5,4,5,5,4,5,5,5,6,5,4,4,4,4,5,5,5,6,3,5,4,5,4,4,4,4,5,5,5,4,4,5,5,5,6,5,6,6,4,3,4,5,5,5,5,5,4,6,4,6,6,5,4,4,4,4,3,5,4,5,4,6,5,4,6,4,5,4,6,4,5,4,4,5,5,6,5,5,5,2,5,5
