item_a,item_b,correlation,partition
i tremble in dangerous situations.,i would like to have more power than other people.,-0.010917,dev
i think of others first.,i have a colorful and dramatic way of talking about things.,0.073351701,dev
i am not easily bothered by things.,i know that anyone who tries can get a job.,0.141131,dev
i seek support.,i am not bothered by disorder.,-0.043012956,dev
most people can be manipulated.,i find my circle of friends and acquaintances too limited.,0.062658269,dev
i am good at making impromptu speeches.,i don't finish the things that i start.,-0.045361675,dev
i do things in a half-way manner.,i seldom toot my own horn.,0.032860249,dev
i am confident that i can perform effectively on many different tasks.,"compared to other people, i can do most tasks very well.",0.470622776,dev
i want to be the very best.,i demand attention.,0.191660525,dev
i am quiet around strangers.,i am not really interested in others.,0.254180804,dev
i enjoy being the centre of attention at any social gathering.,i make it a point of listening to the news each morning.,-0.102073926,dev
i cheat on people who have trusted me.,i keep my cool.,-0.109111338,dev
i am deeply moved by others' misfortunes.,i stumble over my words.,-0.054584764,dev
avoid direct conflict with others because they may be useful in the future.,i think about myself a lot.,0.023639909,dev
i know that anyone who tries can get a job.,i will do anything for others.,0.132159901,dev
i tell people about it when i'm irritated.,i cheat on people who have trusted me.,-0.021247764,dev
i do too little work.,i think of others first.,-0.227979295,dev
i am an average person.,i have never gotten into trouble with the law.,0.071236529,dev
i do the opposite of what is asked.,i think of others first.,-0.218086913,dev
"when it comes to orders, i would rather give them than receive them.",i'm quick to notice changes in my mood.,0.06476778,dev
i cheer people up.,i shoot my mouth off.,0.070854758,dev
"i often try to make people like or accept me more by saying something funny about my own weaknesses, blunders, or faults.",i don't often joke around with my friends.,-0.075476971,dev
i don't think that laws apply to me.,i want to be the very best.,0.087857681,dev
i don't have a soft side.,i have trouble guessing how others will react.,0.072296853,dev
i cheer people up.,i am not bothered by disorder.,0.026251995,dev
i believe that there is never an excuse for lying.,i don't finish the things that i start.,-0.185238885,dev
i learn things slowly.,i waste my time.,0.116195323,dev
i complete my duties as soon as possible.,i do things in a half-way manner.,-0.480681694,dev
"i enjoy feeling ""close to the earth"".",i pay too little attention to details.,0.015771228,dev
i believe that people are essentially evil.,i get started quickly on doing a job.,-0.056870981,dev
i feel threatened easily.,i like to visit new places.,-0.232082272,dev
i am usually a patient person.,i would be good at rescuing people from a burning building.,0.097011883,dev
i don't put my mind on the task at hand.,i rarely cry during sad movies.,0.021473397,dev
i cheat on people who have trusted me.,i shoot my mouth off.,0.182269539,dev
i have more energy than most people.,i frequently catch myself daydreaming.,-0.071904692,dev
i am an extraordinary person.,i cheer people up.,0.264239291,dev
i do too little work.,i feel attacked by others.,0.18109545,dev
i adapt easily to new situations.,i rarely worry.,0.300773261,dev
"when i'm doing something, i'm only focused on what i'm doing, nothing else.",i drive on automatic pilot・without paying attention to what i'm doing.,-0.06740526,dev
i am usually a patient person.,i hang around doing nothing.,-0.067712159,dev
i avoid difficult reading material.,i never splurge.,0.011600927,dev
the people who disagree with me may well turn out to be right.,i am grateful to a wide variety of people.,0.248084477,dev
the people who disagree with me may well turn out to be right.,it's hard for me to work when someone is watching me.,-0.053669782,dev
"when it comes to orders, i would rather give them than receive them.",i like to get acquainted with important people.,0.202999077,dev
i am deeply moved by others' misfortunes.,i am not always honest with myself.,-0.026696755,dev
i avoid difficult reading material.,i do too little work.,0.122346353,dev
people often say i'm out of control.,i will be able to achieve most of the goals that i have set for myself.,-0.18714782,dev
i try to avoid speaking in public.,i want to be the very best.,-0.144678442,dev
"i enjoy feeling ""close to the earth"".",i will do anything for others.,0.08085644,dev
i prefer to be alone.,i see myself as a good leader.,-0.272221458,dev
i swim against the current.,i will do anything for others.,-0.100346881,dev
i am not very meticulous when i carry out d.i.y.,"when i hear the weather forecast, i am not very interested in the meteorological patterns.",0.136603215,dev
i feel attacked by others.,i would be good at rescuing people from a burning building.,-0.078587689,dev
i need the approval of others.,i would be good at rescuing people from a burning building.,-0.108129626,dev
i have trouble guessing how others will react.,i think of others first.,-0.033981498,dev
i am quiet around strangers.,i express childlike joy.,-0.067469206,dev
i don't consider myself religious.,i rarely complain.,-0.075793889,dev
i enjoy examining myself and my life.,i have an eye for detail.,0.14963988,dev
i don't finish the things that i start.,i seek support.,-0.040090444,dev
"the things i believe in are so completely true, i could never doubt them.",there are things you should hide from other people to preserve your reputation.,0.037896763,dev
i bottle up my feelings.,i enjoy the beauty of nature.,0.056968913,dev
i cheer people up.,i keep my cool.,0.170454935,dev
i have a very wide range of interests.,"i tend to be cautious, but not fearful.",0.048278306,dev
i am an extraordinary person.,i cheat on people who have trusted me.,-0.008177646,dev
i swim against the current.,i have a colorful and dramatic way of talking about things.,0.242543262,dev
